question	theme	fréquence
heures supplémentaires non rémunérées		48
horaire de travail		180
horaires de travail		170
inaptitude au poste	inaptitude	54
inaptitude au poste de travail	inaptitude	48
inaptitude au travail	inaptitude	102
inaptitude et licenciement	inaptitude	48
inaptitude et reclassement	inaptitude	54
inaptitude professionnelle	inaptitude	90
indemnisation chomage	droits-chomage	90
indemnisation chômage	droits-chomage	106
indemnisation pole emploi	droits-chomage	66
indemnisation pôle emploi	droits-chomage	90
indemnite chomage	droits-chomage	66
indemnité chomage	droits-chomage	90
indemnité chômage	droits-chomage	80
indemnité compensatrice de congés payés		59
indemnité de départ à la retraite		72
indemnité de fin de contrat		90
indemnite de licenciement	calcul-indemnites-licenciement	96
indemnité de licenciement	calcul-indemnites-licenciement	269
indemnité de licenciement	calcul-indemnites-licenciement	51
indemnité de licenciement pour inaptitude		48
indemnité fin de contrat		48
indemnité journalière		48
indemnité licenciement	calcul-indemnites-licenciement	99
indemnité rupture conventionnelle	calcul-indemnites-rupture-conventionnelle	66
indemnités chomage	droits-chomage	114
indemnités chômage	droits-chomage	171
indemnités congés payés		132
indemnités de congés payés		60
indemnités de fin de contrat		92
indemnites de licenciement	calcul-indemnites-licenciement	102
indemnités de licenciement	calcul-indemnites-licenciement	483
indemnités de licenciement	calcul-indemnites-licenciement	45
indemnités fin de cdd		48
indemnités journalières		93
indemnités kilométriques		54
indemnités licenciement	calcul-indemnites-licenciement	72
indemnités pôle emploi	droits-chomage	48
indemnités repas		60
indemnités rupture conventionnelle	calcul-indemnites-rupture-conventionnelle	66
inscription pole emploi		57
inscription pôle emploi		72
inspection du travail		52
invalidité et licenciement		54
jour de fractionnement		60
jour de repos		281
jour de solidarité		48
jour enfant malade		42
jour ferie	jours-feries	102
jour ferié	jours-feries	54
jour férié	jours-feries	348
journee de solidarite	journee-solidarite	84
journée de solidarité	journee-solidarite	378
journée solidarité	journee-solidarite	60
jours de carence		63
jours de congés		91
jours de fractionnement		126
jours de repos		120
jours feries	jours-feries	84
jours feriés	jours-feries	60
jours fériés	jours-feries	421
lettre d' avertissement	lettre-avertissement	66
lettre de demission	lettre-demission	87
lettre de démission	lettre-demission	102
lettre de licenciement	lettre-licenciement	170
lettre licenciement	lettre-licenciement	53
licenciement		129
licenciement	licenciement-procedure	390
licenciement a l' amiable		141
licenciement à l' amiable		231
licenciement abandon de poste		54
licenciement abusif	licenciement-abusif	1176
licenciement abusif		150
licenciement abusif ou pas		51
licenciement amiable		219
licenciement assistante maternelle		180
licenciement cdd		54
licenciement conventionnel		210
licenciement economique	licenciement-economique	1185
licenciement économique	licenciement-economique	1788
licenciement économique	licenciement-economique	60
licenciement economique	licenciement-economique	93
licenciement économique	licenciement-economique	78
licenciement économique et csp		54
licenciement économique individuel		60
licenciement économique ou rupture conventionnelle		96
licenciement en arret maladie	licenciement-arret-maladie	48
licenciement en arrêt maladie	licenciement-arret-maladie	60
licenciement en cdd		45
licenciement en maladie	licenciement-arret-maladie	45
licenciement et congés payés		48
licenciement faute grave	licenciement-faute-grave	390
licenciement femme enceinte		48
licenciement inaptitude	licenciement-inaptitude	294
licenciement maladie professionnelle	licenciement-arret-maladie	60
licenciement ou demission		57
licenciement ou démission		108
licenciement ou rupture conventionnelle		129
licenciement pendant arrêt maladie	licenciement-arret-maladie	66
licenciement pendant un arrêt maladie	licenciement-arret-maladie	72
licenciement pour abandon de poste	abandon-de-poste	336
licenciement pour absence	licenciement-absences	60
licenciement pour absence injustifiée	licenciement-absences	60
licenciement pour absences injustifiées	licenciement-absences	96
licenciement pour cause réelle et sérieuse		114
licenciement pour faute	licenciement-faute-grave	315
licenciement pour faute grave	licenciement-faute-grave	1434
licenciement pour faute grave	licenciement-faute-grave	45
licenciement pour faute grave	licenciement-faute-grave	132
licenciement pour faute lourde	licenciement-faute-grave	132
licenciement pour inaptitude	licenciement-inaptitude	2313
licenciement pour inaptitude	licenciement-inaptitude	168
licenciement pour inaptitude	licenciement-inaptitude	147
licenciement pour inaptitude au poste	licenciement-inaptitude	72
licenciement pour inaptitude médicale	licenciement-inaptitude	48
licenciement pour inaptitude non professionnelle	licenciement-inaptitude	60
licenciement pour inaptitude physique	licenciement-inaptitude	48
licenciement pour inaptitude professionnelle	licenciement-inaptitude	48
licenciement pour maladie	licenciement-arret-maladie	60
licenciement pour motif personnel		108
licenciement pour vol		102
licenciement rupture conventionnelle	rupture-conventionnelle	126
licenciement salarié protégé		54
licenciement sans préavis		48
licenciement suite inaptitude	licenciement-inaptitude	54
licenciment		144
licenciment abusif		90
licenciment economique	licenciement-economique	210
licenciment économique	licenciement-economique	114
licenciment faute grave	licenciement-faute-grave	69
licenciment pour faute grave	licenciement-faute-grave	120
licenciment pour inaptitude	licenciement-inaptitude	114
lieu de travail		59
liquidation judiciaire		144
litige avec employeur		72
litige avec mon employeur		90
litige employeur		99
logement de fonction		120
longue maladie		48
lundi de pentecote		84
lundi de pentecôte		93
ma retraite		96
maintien de salaire		210
maintient de salaire		48
maison de retraite		54
maladie professionnel	maladie-professionnelle	69
maladie professionnelle	maladie-professionnelle	493
médaille du travail		72
medecine du travail		126
médecine du travail		95
menace de licenciement		60
mes droit		90
mes droits		279
mi temps		90
mi temps therapeutique		177
mi temps thérapeutique		258
mi-temps thérapeutique		90
minimum retraite		54
minimum vieillesse		84
mise a pied	mise-a-pied	228
mise à pied	mise-a-pied	324
mise a pied a titre conservatoire	mise-a-pied	102
mise à pied à titre conservatoire	mise-a-pied	60
mise a pied conservatoire	mise-a-pied	348
mise à pied conservatoire	mise-a-pied	351
mise à pied disciplinaire	mise-a-pied	78
mise au placard		66
mise en disponibilité		54
modification contrat de travail	modification-contrat-travail	246
modification contrat travail	modification-contrat-travail	42
modification de contrat	modification-contrat-travail	189
modification de contrat de travail	modification-contrat-travail	48
modification de planning		66
modification des horaires de travail		60
modification du contrat de travail	modification-contrat-travail	195
modification du temps de travail		72
modification horaire de travail		54
modification horaires de travail		54
modulation du temps de travail		96
motif de licenciement		60
mutuelle d' entreprise	mutuelle	63
mutuelle entreprise	mutuelle	90
mutuelle obligatoire	mutuelle	291
nombre de jours de congés		48
non paiement de salaire		105
non paiement du salaire		60
non renouvellement cdd	fin-cdd	54
non renouvellement d' un cdd	fin-cdd	54
non renouvellement de cdd	fin-cdd	96
non renouvellement de contrat	fin-cdd	90
non respect de la convention collective		81
non respect du contrat		60
non respect du contrat de travail		105
notification de retraite		54
nouveau contrat		43
nouveau contrat de travail		60
obligation de l' employeur		48
paiement congés payés		77
paiement de salaire		48
paiement des congés payés		108
paiement des heures supplémentaires		60
paiement du salaire		42
paiement salaire		101
paiement solde de tout compte		60
panier repas		204
paniers repas		54
pas de contrat		129
pas de contrat de travail		183
pas de contrat signé		48
pas de salaire		72
pause déjeuner		102
pause repas		126
pension alimentaire		66
pension d' invalidité		48
pension de retraite		65
pension de reversion	pension-de-reversion	510
pension de réversion	pension-de-reversion	263
pension de reversion	pension-de-reversion	90
pension de réversion	pension-de-reversion	69
pension reversion	pension-de-reversion	102
pension réversion	pension-de-reversion	60
periode d essai	periode-essai	120
periode d' essai	periode-essai	348
période d' essai	periode-essai	585
période d' essai	periode-essai	45
perte de salaire		144
plan social		48
pole emploi		204
pôle emploi		158
portabilité mutuelle		60
possibilité de sanction sur une odeur laissée au travail		48
preavis de demission	demission-preavis	66
préavis de démission	demission-preavis	155
preavis de licenciement	licenciement-preavis	66
préavis de licenciement	licenciement-preavis	84
préavis demission	demission-preavis	48
préavis démission	demission-preavis	215
préavis et congés payés		63
prime anciennete	prime-anciennete	102
prime ancienneté	prime-anciennete	162
prime annuelle		78
prime d anciennete	prime-anciennete	84
prime d ancienneté	prime-anciennete	153
prime d' activité		48
prime d' anciennete	prime-anciennete	102
prime d' ancienneté	prime-anciennete	729
prime d' assiduité		102
prime d' interessement		48
prime de départ à la retraite		102
prime de fin d annee		60
prime de fin d' année		234
prime de fin de contrat		138
prime de licenciement		459
prime de licenciement		45
prime de licenciment		66
prime de noel		84
prime de noel		60
prime de nuit		60
prime de panier		102
prime de participation		54
prime de precarite	prime-precarite	90
prime de précarité	prime-precarite	598
prime de précarité cdd	prime-precarite	90
prime de transport		54
prime de vacances		132
prime exceptionnelle		186
prime fin de contrat		54
prime licenciement		90
prime panier		96
prime précarité	prime-precarite	48
prime sur objectif		48
prise d' acte		60
prise de congés		57
prise de congés payés		54
probleme avec mon employeur		66
problème avec mon employeur		105
probleme avec mon patron		75
problème avec mon patron		48
probleme de contrat		48
problème de salaire		66
procedure de licenciement	licenciement-procedure	66
procédure de licenciement	licenciement-procedure	182
procédure de licenciement pour inaptitude	licenciement-inaptitude	42
procédure licenciement	licenciement-procedure	60
prolongation congé parental		66
promesse d embauche	promesse-embauche	48
promesse d' embauche	promesse-embauche	144
proposition de reclassement		60
prud' homme	prudhommes	42
prud' hommes	prudhommes	63
que dois je faire		51
que faire		144
quels sont mes droits		123
rachat de trimestres		47
radiation pole emploi		48
rapprochement de conjoint	demission-rapprochement-conjoint	69
reconversion professionnelle		48
récupération d' heures		51
récupération des heures supplémentaires		54
récupération jours fériés		54
redressement judiciaire		102
réduction du temps de travail		60
refus are		84
refus congés payés		42
refus de cdi		66
refus de congés		84
refus de congés payés		60
refus de licenciement		48
refus de mutation		132
refus de reclassement		78
refus de renouvellement de cdd		60
refus de rupture conventionnelle	rupture-conventionnelle-refus	138
refus renouvellement cdd		60
refus rupture conventionnelle	rupture-conventionnelle-refus	101
relevé de carrière		96
remboursement frais de transport		48
renouvellement ass		48
renouvellement cdd		231
renouvellement de cdd		105
renouvellement de contrat		65
renouvellement période d' essai		114
renseignement		72
repos compensateur		321
repos hebdomadaire		254
reprise ancienneté		66
reprise d' ancienneté		81
reprise de travail		84
reprise du travail		67
requalification cdd en cdi		123
requalification d' un cdd en cdi		78
retard de paiement		81
retard de salaire		102
retenue sur salaire		150
retour de congé maternité		48
retour de congé parental		42
retraite	droits-retraite	258
retraite à 60 ans	droits-retraite	45
retraite à taux plein	droits-retraite	46
retraite anticipée	droits-retraite	144
retraite anticipée	droits-retraite	60
retraite carrière longue		78
retraite complementaire		102
retraite complémentaire		132
retraite de reversion	pension-de-reversion	108
retraite de réversion	pension-de-reversion	50
retraite militaire		48
retraite progressive		73
risque de licenciement		63
rompre un cdd	rupture-cdd	72
rompre un cdi	rupture-cdi	72
rupture anticipée cdd	rupture-cdd	60
rupture anticipée d' un cdd	rupture-cdd	60
rupture cdd	rupture-cdd	336
rupture cdd pour cdi	rupture-cdd	93
rupture cdi	rupture-cdi	174
rupture contrat	rupture-contrat	204
rupture contrat apprentissage	rupture-contrat-apprentissage	107
rupture contrat assistante maternelle	rupture-assistance-maternelle	54
rupture contrat d' apprentissage	rupture-contrat-apprentissage	228
rupture contrat de professionnalisation	rupture-contrat-professionalisation	117
rupture contrat de travail	rupture-contrat	69
rupture contrat interim		60
rupture contrat pro		90
rupture conventionelle	rupture-conventionnelle	291
rupture conventionnel	rupture-conventionnelle	267
rupture conventionnelle	rupture-conventionnelle	4095
rupture conventionnelle	rupture-conventionnelle	192
rupture conventionnelle	rupture-conventionnelle	243
rupture conventionnelle à l' initiative de l' employeur	rupture-conventionnelle	48
rupture conventionnelle cdi	rupture-conventionnelle	90
rupture conventionnelle d' un cdi	rupture-conventionnelle	114
rupture conventionnelle de cdi	rupture-conventionnelle	84
rupture conventionnelle de contrat	rupture-conventionnelle	234
rupture conventionnelle de contrat de travail	rupture-conventionnelle	114
rupture conventionnelle du contrat de travail	rupture-conventionnelle	180
rupture conventionnelle et arrêt maladie	rupture-conventionnelle	48
rupture conventionnelle et congés payés	rupture-conventionnelle	72
rupture conventionnelle ou licenciement	rupture-conventionnelle	129
rupture conventionnelle ou licenciement économique	rupture-conventionnelle	81
rupture conventionnelle refusé	rupture-conventionnelle	48
rupture conventionnelle refusée	rupture-conventionnelle	84
rupture d' un cdd	rupture-cdd	138
rupture d' un cdd pour un cdi	rupture-cdd	42
rupture d' un contrat d' apprentissage	rupture-contrat-apprentissage	66
rupture d' un contrat de professionnalisation	rupture-contrat-professionalisation	66
rupture de cdd	rupture-cdd	210
rupture de cdi	rupture-cdi	90
rupture de contrat	rupture-contrat	1110
rupture de contrat	rupture-contrat	108
rupture de contrat assistante maternelle	rupture-assistance-maternelle	78
rupture de contrat cdd	rupture-cdd	60
rupture de contrat cdi	rupture-cdi	60
rupture de contrat conventionnel	rupture-conventionnelle	117
rupture de contrat conventionnelle	rupture-conventionnelle	180
rupture de contrat d' apprentissage	rupture-contrat-apprentissage	246
rupture de contrat de professionnalisation	rupture-contrat-professionalisation	48
rupture de contrat de travail	rupture-contrat	114
rupture de contrat en période d' essai	rupture-periode-dessai	42
rupture de contrat interim		42
rupture de contrat pendant la période d' essai	rupture-periode-dessai	54
rupture de la période d' essai	rupture-periode-dessai	114
rupture de periode d' essai	rupture-periode-dessai	78
rupture de période d' essai	rupture-periode-dessai	225
rupture du contrat d' apprentissage	rupture-contrat-apprentissage	54
rupture du contrat de travail	rupture-contrat	64
rupture en période d' essai	rupture-periode-dessai	48
rupture periode d essai	rupture-periode-dessai	78
rupture periode d' essai	rupture-periode-dessai	150
rupture période d' essai	rupture-periode-dessai	747
rupture période d' essai à l' initiative du salarié	rupture-periode-dessai	42
rupture période d' essai cdi	rupture-periode-dessai	54
rupture periode essai	rupture-periode-dessai	48
rupture période essai	rupture-periode-dessai	84
saisie sur salaire		60
salaire de base		69
salaire en retard		54
salaire et coefficient		54
salaire impayé		213
salaire minimum	smic	92
salaire minimum conventionnel	smic	57
salaire non payé		126
salaire non perçu		42
salaire non versé		72
salaires impayés		60
sanction disciplinaire		182
sans contrat de travail		66
solde de tous compte	calcul-solde-de-tout-compte	48
solde de tout compte	calcul-solde-de-tout-compte	1772
solde de tout compte	calcul-solde-de-tout-compte	72
solde de tout compte et congés payés		45
solde tout compte	calcul-solde-de-tout-compte	618
stage non rémunéré		48
statut cadre		48
succession de cdd		48
suivi de conjoint		132
suppression de poste		78
suspension de contrat		48
taux horaire		204
taux horaires		54
temps de pause	temps-de-pause	462
temps de pose	temps-de-pause	48
temps de repos		54
temps de trajet		98
temps de travail	temps-de-travail	1033
temps de travail effectif	temps-de-travail	97
temps partiel		429
temps partiel et congés payés		60
tenue de travail		84
ticket restaurant	tickets-restaurant	84
tickets restaurant	tickets-restaurant	78
tickets restaurants	tickets-restaurant	78
transfert de contrat		60
travail à temps partiel		54
travail au noir	travail-illegal	78
travail de nuit	travail-nuit	595
travail dissimulé	travail-illegal	132
travail du dimanche	travail-dimanche	141
travail du samedi	travail-samedi	42
travail le dimanche	travail-dimanche	354
travail le samedi	travail-samedi	108
travail le week end		72
travail non déclaré		72
travail sans contrat		324
travailler le dimanche	travail-dimanche	54
travailler sans contrat		72
travailleur handicapé		78
treizième mois		53
trimestres retraite		48
trop percu		132
trop perçu		393
trop perçu pole emploi		60
trop perçu pôle emploi		114
validation de trimestres		54
véhicule de fonction		54
véhicule de service		72
versement salaire		54
visite de reprise		78
visite medicale		102
visite médicale		234
voiture de fonction		72